№,Секунда,Микросекунда
1,32,876392
2,32,886527
3,32,896636
4,32,906748
5,32,916852
6,32,927487
7,32,937731
8,32,947914
9,32,958331
10,32,968587
11,32,978848
12,32,989427
13,32,999541
14,33,9759
15,33,19935
16,33,30207
17,33,40381
18,33,50612
19,33,60841
20,33,71182
21,33,81345
22,33,91550
23,33,102453
24,33,112689
25,33,123349
26,33,133570
27,33,143892
28,33,154403
29,33,165129
30,33,175713
31,33,186061
32,33,196185
33,33,206642
34,33,216846
35,33,227001
36,33,237264
37,33,247451
38,33,257634
39,33,267746
40,33,277900
41,33,288067
42,33,298215
43,33,308375
44,33,318544
45,33,328685
46,33,338838
47,33,348957
48,33,359126
49,33,369256
50,33,379389
51,33,389490
52,33,399572
53,33,410131
54,33,420236
55,33,430391
56,33,440647
57,33,451785
58,33,461997
59,33,472240
60,33,482387
61,33,492543
62,33,502702
63,33,512870
64,33,523041
65,33,534018
66,33,544197
67,33,554550
68,33,564987
69,33,575449
70,33,586683
71,33,596828
72,33,606989
73,33,617565
74,33,627760
75,33,637930
76,33,648497
77,33,658639
78,33,669297
79,33,679610
80,33,689792
81,33,700067
82,33,710650
83,33,721473
84,33,731643
85,33,742197
86,33,752356
87,33,763098
88,33,774186
89,33,784466
90,33,794712
91,33,805173
92,33,815382
93,33,825721
94,33,836280
95,33,846489
96,33,856803
97,33,867429
98,33,877638
99,33,888352
100,33,898590
101,33,909638
102,33,920131
103,33,930319
104,33,940529
105,33,950817
106,33,961403
107,33,971581
108,33,982677
109,33,993788
110,34,3980
111,34,14212
112,34,24388
113,34,34713
114,34,44949
115,34,55376
116,34,65511
117,34,75673
118,34,85892
119,34,96132
120,34,106643
121,34,116806
122,34,127223
123,34,137444
124,34,147675
125,34,158238
126,34,169088
127,34,180162
128,34,191185
129,34,202450
130,34,213649
131,34,224585
132,34,235783
133,34,246029
134,34,257055
135,34,267923
136,34,278114
137,34,288349
138,34,298580
139,34,308844
140,34,319272
141,34,330118
142,34,340319
143,34,350807
144,34,361232
145,34,371978
146,34,382210
147,34,392338
148,34,403112
149,34,413950
150,34,424109
151,34,434730
152,34,445334
153,34,455896
154,34,466104
155,34,476316
156,34,486526
157,34,497599
158,34,507810
159,34,518032
160,34,528517
161,34,538726
162,34,548935
163,34,559295
164,34,569731
165,34,580119
166,34,590754
167,34,601309
168,34,612004
169,34,622562
170,34,633113
171,34,643319
172,34,654120
173,34,664697
174,34,675077
175,34,685513
176,34,695719
177,34,706338
178,34,716640
179,34,727162
180,34,737357
181,34,747507
182,34,757805
183,34,768606
184,34,779530
185,34,789761
186,34,799997
187,34,810197
188,34,820433
189,34,830850
190,34,841403
191,34,852042
192,34,862238
193,34,872593
194,34,882894
195,34,893104
196,34,903985
197,34,914195
198,34,924405
199,34,935199
200,34,945406
201,34,956347
202,34,966964
203,34,977174
204,34,987412
205,34,998488
206,35,8625
207,35,18868
208,35,29923
209,35,40156
210,35,50363
211,35,61425
212,35,71618
213,35,82353
214,35,93025
215,35,103257
216,35,114367
217,35,124939
218,35,135200
219,35,145457
220,35,155788
221,35,165890
222,35,176837
223,35,186961
224,35,197032
225,35,207432
226,35,217550
227,35,227724
228,35,238879
229,35,250029
230,35,260238
231,35,271125
232,35,281455
233,35,291616
234,35,301925
235,35,312899
236,35,323130
237,35,333340
238,35,343575
239,35,353784
240,35,364018
241,35,374275
242,35,384495
243,35,395638
244,35,405847
245,35,416058
246,35,426292
247,35,436529
248,35,446739
249,35,456951
250,35,467160
251,35,477414
252,35,487682
253,35,498723
254,35,508952
255,35,519162
256,35,529377
257,35,539588
258,35,549809
259,35,560293
260,35,570530
261,35,581674
262,35,591819
263,35,602026
264,35,612171
265,35,623240
266,35,633379
267,35,644450
268,35,654660
269,35,664889
270,35,675925
271,35,686884
272,35,697084
273,35,708209
274,35,719312
275,35,730306
276,35,740446
277,35,751658
278,35,762729
279,35,773636
280,35,783868
281,35,794797
282,35,805521
283,35,815669
284,35,825876
285,35,837048
286,35,847247
287,35,857483
288,35,868008
289,35,879118
290,35,889528
291,35,899870
292,35,910015
293,35,920209
294,35,930413
295,35,940627
296,35,950872
297,35,961249
298,35,971802
299,35,981990
300,35,992188
